CSV,model_name,Comparison,p-value,Significant
records/logs\AFTFullClassifier_tsreg_jena_climate.csv,AFTFullClassifier,Loss vs Val_Loss,0.1055542565507043,False
records/logs\AFTFullClassifier_tsreg_jena_climate.csv,AFTFullClassifier,All Losses Across Epochs,0.0018528706744714552,True
records/logs\AFTFullClassifier_tsreg_jena_climate.csv,AFTFullClassifier,All Val_Losses Across Epochs,0.004167501561121545,True
records/logs\aftfull_audio_cls_audio_cls.csv,aftfull,Loss vs Val_Loss,0.4148635610497193,False
records/logs\aftfull_audio_cls_audio_cls.csv,aftfull,All Losses Across Epochs,0.003693012513793393,True
records/logs\aftfull_audio_cls_audio_cls.csv,aftfull,All Val_Losses Across Epochs,3.490879198142638e-05,True
records/logs\aftfull_image_cls_image_cls.csv,aftfull,Loss vs Val_Loss,0.2971642411101106,False
records/logs\aftfull_image_cls_image_cls.csv,aftfull,All Losses Across Epochs,0.00022983021810250268,True
records/logs\aftfull_image_cls_image_cls.csv,aftfull,All Val_Losses Across Epochs,6.574299051201674e-05,True
records/logs\aftfull_image_cls_image_reg.csv,aftfull,Loss vs Val_Loss,,False
records/logs\aftfull_image_cls_image_reg.csv,aftfull,All Losses Across Epochs,4.871579759516338e-05,True
records/logs\aftfull_image_cls_image_reg.csv,aftfull,All Val_Losses Across Epochs,,False
records/logs\aftfull_video_cls.csv,aftfull,Loss vs Val_Loss,0.19960281269386096,False
records/logs\aftfull_video_cls.csv,aftfull,All Losses Across Epochs,0.12974754765749621,False
records/logs\aftfull_video_cls.csv,aftfull,All Val_Losses Across Epochs,0.007844487137557143,True
records/logs\aftfull_video_reg.csv,aftfull,Loss vs Val_Loss,0.35910349257548496,False
records/logs\aftfull_video_reg.csv,aftfull,All Losses Across Epochs,0.3241708227054644,False
records/logs\aftfull_video_reg.csv,aftfull,All Val_Losses Across Epochs,0.14107892694351507,False
records/logs\CBAMClassifier_tsreg_jena_climate.csv,CBAMClassifier,Loss vs Val_Loss,0.4793758633498461,False
