epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.0010000000474974513,0.6011006832122803,0.6618055701255798,0.5040384531021118,0.7683772444725037
1,0.0010000000474974513,0.31339019536972046,0.8795138597488403,0.5401585698127747,0.7780860066413879
2,0.0010000000474974513,0.08065127581357956,0.9750000238418579,0.7489533424377441,0.7059639096260071
3,0.0010000000474974513,0.04363083466887474,0.9854166507720947,0.9651827216148376,0.7226074934005737
4,0.0010000000474974513,0.03335868567228317,0.988194465637207,0.9255034923553467,0.7281553149223328
