epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.0010000000474974513,0.6933394074440002,0.5173611044883728,0.6933325529098511,0.5062413215637207
1,0.0010000000474974513,0.6936477422714233,0.5065972208976746,0.6933286190032959,0.4937586784362793
2,0.0010000000474974513,0.6367127895355225,0.5854166746139526,0.4072675406932831,0.783633828163147
3,0.0010000000474974513,0.3634692430496216,0.8305555582046509,0.22113287448883057,0.9223300814628601
4,0.0010000000474974513,0.27076783776283264,0.887499988079071,0.2134079486131668,0.919556200504303
