epoch,loss,mae,mape,val_loss,val_mae,val_mape
0,0.36016741394996643,0.474331796169281,212478800.0,NA,NA,NA
1,0.3242630362510681,0.45221853256225586,197655872.0,NA,NA,NA
2,0.31098926067352295,0.44203752279281616,190280720.0,NA,NA,NA
3,0.2956012785434723,0.4273371994495392,181633088.0,NA,NA,NA
4,0.28555646538734436,0.4183100163936615,176544608.0,NA,NA,NA
